"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"OCFC","OceanFirst Financial Corp.","26.94","$876.32M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ocfc",
"OCRX","Ocera Therapeutics, Inc.","1.07","$28.37M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ocrx",
"OCLR","Oclaro, Inc.","9.49","$1.59B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/oclr",
"OFED","Oconee Federal Financial Corp.","27.1","$156.46M","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ofed",
"OCUL","Ocular Therapeutix, Inc.","5.275","$153.12M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ocul",
"OMEX","Odyssey Marine Exploration, Inc.","4.27","$35.82M","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/omex",
"ODP","Office Depot, Inc.","5.83","$3.02B","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/odp",
"OFS","OFS Capital Corporation","14.23","$189.66M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ofs",
"OHAI","OHA Investment Corporation","1.22","$24.61M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ohai",
"OVBC","Ohio Valley Banc Corp.","32.5","$152.2M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ovbc",
"OHRP","Ohr Pharmaceuticals, Inc.","0.6","$33.73M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ohrp",
"OKTA","Okta, Inc.","22.82","$2.17B","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/okta",
"ODFL","Old Dominion Freight Line, Inc.","94.59","$7.8B","1991","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/odfl",
"OLBK","Old Line Bancshares, Inc.","27.18","$297.63M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/olbk",
"ONB","Old National Bancorp","16.2","$2.2B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/onb",
"OPOF","Old Point Financial Corporation","31.9","$158.81M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/opof",
"OSBC","Old Second Bancorp, Inc.","11.75","$347.57M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/osbc",
"OSBCP","Old Second Bancorp, Inc.","10.46","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/osbcp",
"OLLI","Ollie&#39;s Bargain Outlet Holdings, Inc.","45.05","$2.75B","2015","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/olli",
"ZEUS","Olympic Steel, Inc.","17.69","$193.95M","1994","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/zeus",
"OFLX","Omega Flex, Inc.","59.1","$596.43M","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/oflx",
"OMER","Omeros Corporation","20.5","$900.76M","2009","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/omer",
"OMNT","Ominto, Inc.","5.25","$94.71M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/omnt",
